# 1:T               2:E_av               3:E_err               4:C               5:M               6:Mx               7:My               8:Mz               9:M_err_x               10:M_err_y               11:M_err_z               12:chi_x               13:chi_y               14:chi_z               15:vx               16:vy               17:vz               18:qeuler               19:Chi_q               20:Q+               21:Chi_qp               22:Q-               23:Chi_qm               24:l_x               25:l_y               26:l_z               27:Chi_QpQm               28: Re(Mj+Mi-)               29: Im(Mj+Mi-)               30: Re(Mi+Mi+)               31: Im(Mi+Mi+)               32: Re(Mi+Mi-)               33: Re(Mi+Mj+)               34: Im(Mi+Mj+)
   0.3294428640E+002     0.1104350000E-003     0.1024925028E-003     0.5211000156E+000     0.5595000000E-002     0.0000000000E+000     0.0000000000E+000     0.5595000000E-002     0.0000000000E+000     0.0000000000E+000     0.2014348132E+000     0.0000000000E+000     0.0000000000E+000     0.5714245563E+004     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.1733629746E+002    -0.9524750000E-003     0.3276371630E-004     0.1922962044E+000     0.7537000000E-001     0.0000000000E+000     0.0000000000E+000    -0.7537000000E-001     0.0000000000E+000     0.0000000000E+000     0.9843179893E+000     0.0000000000E+000     0.0000000000E+000     0.2592892066E+006     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.2994283082E+002    -0.3554000000E-004     0.1118349763E-003     0.7510462573E+000     0.3072500000E-002     0.0000000000E+000     0.0000000000E+000     0.3072500000E-002     0.0000000000E+000     0.0000000000E+000     0.2962759895E+000     0.0000000000E+000     0.0000000000E+000     0.1360097375E+005     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.2603200632E+002    -0.4892400000E-003     0.1401050931E-003     0.1559515383E+001     0.1937000000E-001     0.0000000000E+000     0.0000000000E+000    -0.1937000000E-001     0.0000000000E+000     0.0000000000E+000     0.7530674993E+000     0.0000000000E+000     0.0000000000E+000     0.1010718262E+006     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.2863664709E+002    -0.1432800000E-003     0.1278401860E-003     0.1072969932E+001     0.7095000000E-002     0.0000000000E+000     0.0000000000E+000    -0.7095000000E-002     0.0000000000E+000     0.0000000000E+000     0.3965537018E+000     0.0000000000E+000     0.0000000000E+000     0.2547720570E+005     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.1210043388E+002    -0.9959250000E-003     0.9272937438E-005     0.3161767076E-001     0.1978325000E+000     0.0000000000E+000     0.0000000000E+000    -0.1978325000E+000     0.0000000000E+000     0.0000000000E+000     0.9794201710E+000     0.0000000000E+000     0.0000000000E+000     0.3677960744E+006     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.4000000000E+002     0.3284000000E-003     0.8848646748E-004     0.2634697938E+000     0.3400000000E-003     0.0000000000E+000     0.0000000000E+000     0.3400000000E-003     0.0000000000E+000     0.0000000000E+000     0.1254121146E+000     0.0000000000E+000     0.0000000000E+000     0.1824269237E+004     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.2527301532E+002    -0.5793200000E-003     0.1206657272E-003     0.1227300317E+001     0.2845000000E-001     0.0000000000E+000     0.0000000000E+000    -0.2845000000E-001     0.0000000000E+000     0.0000000000E+000     0.8229754655E+000     0.0000000000E+000     0.0000000000E+000     0.1243330708E+006     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.3141570036E+002     0.4076000000E-004     0.1027594383E-003     0.5760325831E+000     0.1749750000E-001     0.0000000000E+000     0.0000000000E+000     0.1749750000E-001     0.0000000000E+000     0.0000000000E+000     0.2350600489E+000     0.0000000000E+000     0.0000000000E+000     0.8159824964E+004     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
   0.2752099271E+002    -0.2722350000E-003     0.1483032424E-003     0.1563400335E+001     0.4660000000E-002     0.0000000000E+000     0.0000000000E+000    -0.4660000000E-002     0.0000000000E+000     0.0000000000E+000     0.5448743694E+000     0.0000000000E+000     0.0000000000E+000     0.5004936916E+005     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000    -0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000     0.0000000000E+000
